hotel_name	city	price	quality_test	total_rat	premium	lat	lon	part_total_rat	breakfast	cleanliness	comfort	facilities	food	hotel_condition	location	room	service	value_for_money	double_bed	king_bed	queen_bed	individual_bed	four_bed	two_ind_beds	five_bed	six_bed	triple	water_sports	winter_sports	family	party	fitness	gay_friendly	gourmets	big_groups	honey_moon	business	adults_only	single_status	pet_travelers	atrapalo_rc	customer_alliance_rc	expedia_rc	holiday_check_rc	hoteles_rc	hotelsclick_rc	splendia_rc	superbreak_rc	vinivi_rc	zoover_rc	hostelbookers_rc	atrapalo_r	customer_alliance_r	expedia_r	holiday_check_r	hoteles_r	hotelsclick_r	splendia_r	superbreak_r	vinivi_r	zoover_r	hostelbookers_r	air_conditioner	bar_in_hotel	gym	pet_allowed	parking	pool	restaurant	spa	wifi_room	wifi_hall	air_conditioner_free	bar_in_hotel_free	gym_free	pet_allowed_free	parking_free	pool_free	restaurant_free	spa_free	wifi_room_free	wifi_hall_free	hotel_type	neighbourhood	is_hotel_very_centric	is_hotel_centric	is_neighbourhood_very_centric
Best Western Alfa Aeropuerto	0	85	0	0	0	41.328354	2.112966	3616	78	84	79	79	77	81	67	78	79	77	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	74.0	0.0	76.0	73.0	80.0	0.0	0.0	0.0	0.0	80.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	Zona Franca	False	False	False
H·TOP BCN City	0	61	0	0	0	41.410954	2.173175	652	0	77	65	66	69	73	81	68	79	73	1	0	0	1	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	0.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	66.0	0.0	72.0	0.0	66.0	80.0	0.0	0.0	0.0	59.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Baix Guinardó	False	True	False
Park Sedó Benstar Hotel Group	0	59	0	0	0	41.480164	2.036661	459	77	85	79	80	73	81	79	81	87	83	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	83.0	0.0	82.0	0.0	86.0	0.0	0.0	0.0	0.0	95.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	outskirt	False	False	False
Aparthotel Bertrán	0	77	0	0	0	41.410416	2.139824	933	82	85	79	81	74	77	79	80	87	81	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	0.0	452.0	654.0	0.0	0.0	0.0	317.0	0.0	77.0	0.0	78.0	0.0	80.0	72.0	0.0	0.0	0.0	76.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	el Putget i Farró	False	False	False
Bcn Montjuic	0	101	0	0	0	41.370201	2.1441	1205	62	84	81	79	69	83	79	76	83	79	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	73.0	0.0	86.0	82.0	82.0	0.0	0.0	0.0	0.0	81.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1	la Font de la Guatlla	False	False	False
SERHS Carlit	0	80	0	0	0	41.397137	2.175804	1552	74	81	73	74	75	77	82	71	83	76	1	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	80.0	0.0	78.0	75.0	76.0	0.0	0.0	0.0	0.0	64.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	la Dreta de l'Eixample	True	False	True
AC Hotel Sant Cugat	0	121	0	0	0	41.4916	2.0742	555	76	87	86	82	74	84	75	78	83	77	0	1	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	0.0	0.0	0.0	0.0	317.0	0.0	78.0	0.0	86.0	73.0	88.0	0.0	0.0	0.0	0.0	73.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False
Abat Cisneros	0	49	0	0	0	41.590321	1.838256	891	77	88	79	80	80	78	92	77	82	80	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	383.0	0.0	406.0	57.0	452.0	654.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	80.0	78.0	80.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	outskirt	False	False	False
Sitges Apartment	0	71	0	0	0	41.243504	1.808031	294	0	84	88	80	0	83	75	79	72	81	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406.0	0.0	452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3	outskirt	False	False	False
Hotel Bestprice Gracia	0	79	0	0	0	41.409698	2.160835	619	0	90	87	81	0	0	82	0	93	86	1	0	0	0	0	1	0	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5	el Camp d'en Grassot i Gràcia Nova	False	True	False
